Row, Site, Dept, Chassis, Slot, PortGroup, PortIdx, Connection, Name, Status, Firmware, OwnershipState, OwnerHostname, OwnerUserId, OwnerTimestamp, Notes, Last Scan
67, CHN, TBD, 10.61.37.10, 5, 6, 11,TBD, PhysicalPortGroup 2220, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
68, CHN, TBD, 10.61.37.10, 5, 6, 12,TBD, PhysicalPortGroup 2220, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
69, CHN, TBD, 10.61.37.10, 6, 1, 1,TBD, PhysicalPortGroup 2203, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, spirentpv1, jding, Mon Oct 25 15:36:02 2010,None,2010-10-26 04:52:00
70, CHN, TBD, 10.61.37.10, 6, 1, 2,TBD, PhysicalPortGroup 2203, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, spirentpv1, jding, Mon Oct 25 15:36:02 2010,None,2010-10-26 04:52:00
71, CHN, TBD, 10.61.37.10, 6, 2, 3,TBD, PhysicalPortGroup 2204, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, spirentpv1, jding, Mon Oct 25 15:36:02 2010,None,2010-10-26 04:52:00
72, CHN, TBD, 10.61.37.10, 6, 2, 4,TBD, PhysicalPortGroup 2204, UP, 3.60.2600, OWNERSHIP_STATE_RESERVED, spirentpv1, jding, Mon Oct 25 15:36:02 2010,None,2010-10-26 04:52:00
73, CHN, TBD, 10.61.37.10, 6, 3, 5,TBD, PhysicalPortGroup 2205, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
74, CHN, TBD, 10.61.37.10, 6, 3, 6,TBD, PhysicalPortGroup 2205, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
75, CHN, TBD, 10.61.37.10, 6, 4, 7,TBD, PhysicalPortGroup 2206, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
76, CHN, TBD, 10.61.37.10, 6, 4, 8,TBD, PhysicalPortGroup 2206, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
77, CHN, TBD, 10.61.37.10, 6, 5, 9,TBD, PhysicalPortGroup 2207, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
78, CHN, TBD, 10.61.37.10, 6, 5, 10,TBD, PhysicalPortGroup 2207, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
79, CHN, TBD, 10.61.37.10, 6, 6, 11,TBD, PhysicalPortGroup 2208, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
80, CHN, TBD, 10.61.37.10, 6, 6, 12,TBD, PhysicalPortGroup 2208, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
81, CHN, TBD, 10.61.37.10, 7, 1, 1,TBD, PhysicalPortGroup 2197, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
82, CHN, TBD, 10.61.37.10, 7, 1, 2,TBD, PhysicalPortGroup 2197, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
83, CHN, TBD, 10.61.37.10, 7, 2, 3,TBD, PhysicalPortGroup 2198, UP, 3.60.2600, OWNERSHIP_STATE_AVAILABLE, , , ,None,2010-10-26 04:52:00
